No;Independen_1;Independen_2;N;Dependen
1;_O75;_BEAN;39;10
2;_O75;_BEAN;62;23
3;_O75;_BEAN;81;23
4;_O75;_BEAN;51;26
5;_O75;_BEAN;39;17
6;_O75;_CUCUMBER;6;5
7;_O75;_CUCUMBER;74;53
8;_O75;_CUCUMBER;72;55
9;_O75;_CUCUMBER;51;32
10;_O75;_CUCUMBER;79;46
11;_O75;_CUCUMBER;13;10
12;_O73;_BEAN;16;8
13;_O73;_BEAN;30;10
14;_O73;_BEAN;28;8
15;_O73;_BEAN;45;23
16;_O73;_BEAN;4;0
17;_O73;_CUCUMBER;12;3
18;_O73;_CUCUMBER;41;22
19;_O73;_CUCUMBER;30;15
20;_O73;_CUCUMBER;51;32
21;_O73;_CUCUMBER;7;3
